date,open,high,low,close,volume
1445934120000,1885.0,1885.12,1884.46,1885.09,372.367
1445934180000,1885.09,1886.11,1884.91,1885.39,294.214
1445934240000,1885.39,1886.0,1885.0,1885.44,226.702
1445934300000,1885.49,1885.51,1885.03,1885.26,102.001
1445934360000,1885.26,1885.27,1883.22,1884.39,534.801
1445934420000,1884.4,1885.31,1883.67,1884.52,815.569
1445934480000,1884.52,1884.65,1882.8,1883.19,444.101
1445934540000,1883.43,1883.51,1882.5,1883.35,307.688
1445934600000,1883.22,1884.0,1883.0,1883.53,104.036
1445934660000,1883.53,1883.65,1883.0,1883.34,162.032
1445934720000,1883.33,1885.88,1883.11,1885.26,466.092
1445934780000,1885.26,1887.45,1884.99,1886.99,467.721
1445934840000,1887.16,1889.23,1887.16,1888.9,563.612
1445934900000,1888.8,1891.4,1887.06,1888.02,704.16
1445934960000,1888.11,1889.29,1886.19,1888.35,684.875
1445935020000,1888.36,1888.85,1888.05,1888.41,194.796
1445935080000,1888.51,1890.0,1888.41,1889.62,399.036
1445935140000,1889.62,1889.71,1888.32,1888.62,480.162
1445935200000,1888.62,1889.1,1888.2,1889.0,331.713
1445935260000,1889.0,1889.72,1889.0,1889.33,158.099
1445935320000,1889.33,1890.03,1887.4,1887.81,273.018
1445935380000,1887.54,1887.62,1886.37,1886.37,242.422
1445935440000,1886.37,1887.85,1885.91,1887.69,317.036
1445935500000,1887.6,1889.0,1887.06,1888.74,270.753
1445935560000,1888.74,1888.74,1887.51,1888.16,131.888
1445935620000,1888.16,1889.14,1887.4,1888.66,252.998
1445935680000,1888.74,1889.14,1888.31,1889.14,240.881
1445935740000,1889.14,1891.0,1888.92,1890.27,403.743
1445935800000,1890.33,1892.2,1889.98,1892.04,410.338
1445935860000,1892.15,1894.31,1892.0,1892.0,642.743
1445935920000,1892.0,1892.57,1888.6,1888.62,474.778
1445935980000,1889.02,1892.0,1888.63,1890.64,620.581
1445936040000,1890.68,1890.79,1888.56,1889.04,261.512
1445936100000,1889.02,1889.02,1886.0,1887.54,646.671
1445936160000,1887.54,1888.19,1887.0,1887.98,362.954
1445936220000,1887.86,1888.23,1885.84,1887.39,474.625
1445936280000,1887.39,1887.43,1885.52,1885.96,220.85
1445936340000,1885.96,1887.16,1885.53,1886.08,366.911
1445936400000,1886.07,1886.37,1883.5,1883.51,482.117
1445936460000,1883.79,1886.0,1882.88,1885.37,793.545
1445936520000,1885.37,1886.76,1885.0,1886.33,283.657
1445936580000,1886.33,1887.4,1886.31,1887.08,365.42
1445936640000,1887.07,1888.01,1886.45,1886.99,211.61
1445936700000,1886.97,1886.97,1885.55,1885.57,219.223
1445936760000,1885.57,1889.63,1885.57,1889.45,347.046
1445936820000,1889.45,1890.0,1887.46,1887.66,483.055
1445936880000,1887.51,1888.67,1887.46,1888.55,140.66
1445936940000,1888.55,1890.88,1888.41,1890.77,315.702
1445937000000,1890.78,1892.12,1890.46,1891.0,469.764
1445937060000,1891.0,1891.0,1889.8,1890.59,348.131
1445937120000,1890.59,1890.75,1889.73,1890.29,234.897
1445937180000,1890.3,1890.35,1889.01,1889.63,144.032
1445937240000,1889.63,1893.36,1889.57,1892.52,406.536
1445937300000,1892.64,1894.51,1892.39,1893.45,482.693
1445937360000,1893.45,1893.46,1889.53,1890.28,484.893
1445937420000,1890.28,1891.0,1890.01,1891.0,175.307
1445937480000,1891.0,1892.64,1890.44,1892.21,196.344
1445937540000,1892.2,1893.0,1891.0,1891.62,207.233
1445937600000,1891.62,1891.84,1889.41,1890.06,273.786
1445937660000,1890.26,1890.31,1888.65,1889.75,344.028
1445937720000,1889.52,1890.06,1888.88,1889.75,185.893
1445937780000,1889.74,1890.48,1889.62,1889.85,214.647
1445937840000,1889.8,1891.17,1889.8,1890.63,354.635
1445937900000,1890.61,1891.83,1890.48,1891.05,540.477
1445937960000,1890.99,1891.37,1889.88,1889.88,280.339
1445938020000,1890.24,1890.43,1888.12,1889.01,489.272
1445938080000,1889.01,1891.0,1888.8,1890.79,289.136
1445938140000,1890.84,1891.0,1890.7,1890.76,144.624
1445938200000,1890.76,1890.9,1889.02,1889.53,222.372
1445938260000,1889.53,1890.7,1889.01,1890.38,151.001
1445938320000,1890.4,1890.62,1889.58,1889.77,229.947
1445938380000,1889.77,1889.8,1886.2,1886.43,487.996
1445938440000,1886.43,1888.6,1885.1,1888.27,681.852
